Iulio, Iulio, la, transcription, </choice>Iulio, texts/xml/caes0018.xml
Iulio, Iulio, la, transcription, </lb>Iulio, texts/xml/caes0106.xml
Iulius, Iulius, la, transcription, </lb>Iulius, texts/xml/caes0119.xml
Iulius, Iulius, la, transcription, </lb>Iul</abbr>ius</ex></expan>, texts/xml/caes0148.xml
Iul­, Iul­, la, transcription, Iul­, texts/xml/caes0148.xml
Iustinus, Iustinus, la, transcription, Iustinus, texts/xml/caes0007.xml
L, L, la, transcription, L</unclear>, texts/xml/caes0035.xml
L, L, la, transcription, </lb>L</unclear>, texts/xml/masa0827.xml
L, L, la, transcription, </lb>L</p></div>, texts/xml/masa0836.xml
L, L, la, transcription, L</unclear>, texts/xml/masa0937.xml
LOL, LOL, la, transcription, </gap></gap>LOL</gap></p></div>, texts/xml/masa0840.xml
LXXV, LXXV, la, transcription, </lb>L</unclear>XXV</p></div>, texts/xml/masa0834.xml
LXXVI, LXXVI, la, transcription, LXXVI</p></div>, texts/xml/masa0824.xml
Lati, fero, la, transcription, </lb>Lati</supplied>, texts/xml/caes0062.xml
Leg, Leg, la, transcription, </gap>L</unclear>eg</unclear>, texts/xml/masa0853.xml
Livi·Caustr, Livi·Caustr, la, transcription, Livi·Cau</hi>str</unclear>, texts/xml/masa0948.xml
Lucio, lucius, la, transcription, L</abbr>ucio</ex></expan>, texts/xml/caes0004.xml
L·, L·, la, transcription, </lb></gap></gap>L</unclear>·</p></div>, texts/xml/masa0828.xml
M, M, la, transcription, M, texts/xml/masa0838.xml
M, M, la, transcription, M</gap></p></div>, texts/xml/masa0916.xml
M, M, la, transcription, M</unclear>, texts/xml/masa0917.xml
M, M, la, transcription, M</p></div>, texts/xml/masa0944.xml
M, M, la, transcription, M., texts/xml/masa0949.xml
MARION, MARION, la, transcription, MARION, texts/xml/jeru0164.xml
MO, MO, la, transcription, MO</hi>, texts/xml/masa0945.xml
MON, mos, la, transcription, MON</gap></p></div>, texts/xml/masa0833.xml
MT, MT, la, transcription, MT</p></div>, texts/xml/masa0921.xml
Macedonicae, Macedonicae, la, transcription, </lb>Mac</abbr>edonicae</ex></expan>&#44;, texts/xml/emma0001.xml
Magnus, magnus, la, transcription, Magnu</abbr>s</ex></expan>, texts/xml/caes0119.xml
Manibus, manus, la, transcription, M</abbr>anibus</ex></expan>, texts/xml/caes0146.xml
Manibus, manus, la, transcription, M</abbr>anibus</ex></expan>., texts/xml/caes0160.xml
Marco, marcus, la, transcription, M</abbr>arco</ex></expan>, texts/xml/caes0009.xml
Marco, marcus, la, transcription, M</abbr>arco</ex></expan>, texts/xml/caes0016.xml
Marco, marcus, la, transcription, </lb>M</abbr>arco</ex></expan>, texts/xml/caes0107.xml
Marcum, marcus, la, transcription, M</abbr>arcum</ex></expan>, texts/xml/caes0003.xml
Marcus, marcus, la, transcription, </lb>M</abbr>arcus</ex></expan>, texts/xml/caes0018.xml
Marini, marinus, la, transcription, </lb></space>Marini</p></div>, texts/xml/caes0164.xml
Maximiano, Maximiano, la, transcription, </lb>Maximiano, texts/xml/bshe0006.xml
Maximiano, Maximiano, la, transcription, </lb>Maximiano, texts/xml/caes0009.xml
Maximiano, Maximiano, la, transcription, Maximiano, texts/xml/caes0014.xml
Maximianus, Maximianus, la, transcription, </lb>Maximianus, texts/xml/yotv0001.xml
Maximino, Maximino, la, transcription, </lb>Maximino, texts/xml/caes0106.xml
Maximo, magnus, la, transcription, </lb>Maximo, texts/xml/caes0106.xml
Mesopotamenae, Mesopotamenae, la, transcription, </lb>Mesopotamenae, texts/xml/caes0004.xml
Mesopotamiae, Mesopotamiae, la, transcription, Mesop</abbr>otamiae</ex></expan>, texts/xml/caes0010.xml
Mevius, Mevius, la, transcription, </lb>Mevius, texts/xml/caes0004.xml
Mvii, Mvii, la, transcription, M.</abbr>vii</ex></expan>, texts/xml/masa0950.xml
M·, M·, la, transcription, M·, texts/xml/masa0829.xml
N, N, la, transcription, </gap>N</unclear>, texts/xml/masa0923.xml
NEPOT, NEPOT, la, transcription, NE</hi>POT</unclear>, texts/xml/masa0946.xml
NEPOT, NEPOT, la, transcription, NE</hi>POT</unclear>, texts/xml/masa0947.xml
Nostius, Nostius, la, transcription, Nost</abbr>ius</ex></expan>, texts/xml/masa0831.xml
O, o, la, transcription, O</unclear>, texts/xml/masa0844.xml
O, o, la, transcription, </gap>O</gap>, texts/xml/masa0917.xml
OLC, OLC, la, transcription, </gap>O</unclear>LC</unclear>, texts/xml/masa0839.xml
OLEARI, OLEARI, la, transcription, OLEARI</gap></p></div>, texts/xml/masa0851.xml
OPOI, OPOI, la, transcription, </lb></gap>OP</unclear>O</gap>I</unclear>, texts/xml/caes0008.xml
Octa, Octa, la, transcription, Octa</supplied>, texts/xml/masa0949.xml
Omni, omne, la, transcription, Omni, texts/xml/caes0016.xml
