ΑΒΒΑΝΟΣ, ΑΒΒΑΝΟΣ, grc, transcription, ΑΒΒΑΝΟΣ</p></div>, texts/xml/sina0110.xml
ΑΒΓΔ, ΑΒΓΔ, grc, transcription, ΑΒΓΔ, texts/xml/jeri0006.xml
ΑΒΓΔΕΖΗΘ, ΑΒΓΔΕΖΗΘ, grc, transcription, ΑΒΓΔΕΖΗΘ, texts/xml/beth0073.xml
ΑΔΕΛΦΑΣ, ΑΔΕΛΦΑΣ, grc, transcription, ΑΔΕΛΦΑΣ, texts/xml/caes0156.xml
ΑΖΟΝ, ΑΖΟΝ, grc, transcription, ΑΖΟΝ</p></div>, texts/xml/elus0071.xml
ΑΘΙΣ, ΑΘΙΣ, grc, transcription, ΑΘΙΣ, texts/xml/beth0166.xml
ΑΙΔΟ, ΑΙΔΟ, grc, transcription, ΑΙΔΟ</unclear>, texts/xml/caes0156.xml
ΑΙΕ, ΑΙΕ, grc, transcription, ΑΙΕ, texts/xml/beth0181.xml
ΑΙΕΝΕΤ, ΑΙΕΝΕΤ, grc, transcription, </lb></gap>ΑΙΕΝΕΤ</unclear>, texts/xml/elus0005.xml
ΑΙΕΡΙΖΕΝ, ΑΙΕΡΙΖΕΝ, grc, transcription, Α</unclear>ΙΕΡΙΖΕ</unclear>Ν</gap>, texts/xml/caes0156.xml
ΑΙΤ, ΑΙΤ, grc, transcription, </lb></gap></unclear>ΑΙΤ</gap>, texts/xml/elus0024.xml
ΑΙΩΝΟΣ, ΑΙΩΝΟΣ, grc, transcription, ΑΙΩΝΟΣ</p></div>, texts/xml/shea0001.xml
ΑΙοὐδὺς, ΑΙοὐδὺς, grc, transcription, </lb>ΑΙοὐ</supplied>δὺς, texts/xml/elus0034.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</supplied>, texts/xml/geze0001.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/xml/geze0002.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/xml/geze0003.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/xml/geze0004.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/xml/geze0005.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/xml/geze0006.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟΥ</foreign>, texts/xml/geze0007.xml
ΑΛΚΙΟΥ, ΑΛΚΙΟΥ, grc, transcription, ΑΛΚΙΟ</unclear>Υ</foreign>, texts/xml/geze0008.xml
ΑΝΑ, ΑΝΑ, grc, transcription, ΑΝΑ</unclear>, texts/xml/zoor0083.xml
ΑΝΗΣΑΤΟΥ, ΑΝΗΣΑΤΟΥ, grc, transcription, </lb>ΑΝΗΣΑΤΟΥ</unclear>, texts/xml/zoor0083.xml
ΑΝΙΑΝΟΥ, ΑΝΙΑΝΟΥ, grc, transcription, ΑΝΙΑΝΟΥ, texts/xml/beth0232.xml
ΑΝΥΑ, ΑΝΥΑ, grc, transcription, </lb>ΑΝΥΑ, texts/xml/beth0166.xml
ΑΟ, ΑΟ, grc, transcription, </lb></gap>Α</unclear>Ο</unclear>, texts/xml/elus0009.xml
ΑΟΥ, ΑΟΥ, grc, transcription, Α</unclear>ΟΥ</unclear>, texts/xml/caes0156.xml
ΑΠΟ, ΑΠΟ, grc, transcription, </lb>ΑΠΟ, texts/xml/shea0001.xml
ΑΡΙ, ΑΡΙ, grc, transcription, </gap>ΑΡΙ</gap>, texts/xml/elus0079.xml
ΑΣ, ΑΣ, grc, transcription, </gap>Α</unclear>Σ, texts/xml/sena0006.xml
ΑΣΚΑ, ΑΣΚΑ, grc, transcription, </lb></gap>ΑΣΚΑ</unclear>, texts/xml/elus0076.xml
ΑΤ, ΑΤ, grc, transcription, </lb></gap>Α</unclear>Τ</gap></p></div>, texts/xml/caes0394.xml
ΑΤΩΝΔ, ΑΤΩΝΔ, grc, transcription, </lb></gap>ΑΤΩΝΔ</gap>, texts/xml/yavn0001.xml
ΑΥΟ, ΑΥΟ, grc, transcription, </lb>Α</unclear>ΥΟ, texts/xml/zoor0319.xml
Αίωνος, Αίωνος, grc, transcription, Αίωνος, texts/xml/evro0005.xml
Αίών, Αίών, grc, transcription, Αίών, texts/xml/evro0003.xml
Αβελαθουτω, Αβελαθουτω, grc, transcription, </lb>Αβελαθουτω, texts/xml/rafi0002.xml
Αβους, Αβους, grc, transcription, Αβους, texts/xml/khus0001.xml
Αβω, Αβω, grc, transcription, Α</unclear>βω, texts/xml/tala0002.xml
Αγαθῇ, Αγαθῇ, grc, transcription, Αγαθῇ, texts/xml/bshe0004.xml
Αγαθῇ, Αγαθῇ, grc, transcription, Αγαθῇ, texts/xml/eluy0003.xml
Αιο, Αιο, grc, transcription, Αιο, texts/xml/khis0074.xml
Ακραβης, Ακραβης, grc, transcription, Ακραβης, texts/xml/ulat0009.xml
Αλα, Αλα, grc, transcription, Αλα, texts/xml/rafi0011.xml
Αλαφ, Αλαφ, grc, transcription, </lb>Αλαφ</gap>, texts/xml/akas0002.xml
Αλαφ, Αλαφ, grc, transcription, Αλ</unclear>αφ, texts/xml/farj0005.xml
Αλε, Αλε, grc, transcription, Αλε, texts/xml/iopp0004.xml
Αλλ, Αλλ, grc, transcription, Α</unclear>λλ, texts/xml/mums0001.xml
Αλου, Αλου, grc, transcription, </lb>Α</unclear>λου</unclear>, texts/xml/kafr0003.xml
Αναηλος, Αναηλος, grc, transcription, </lb>Αναη</supplied>λος, texts/xml/khis0077.xml
Ανιν, Ανιν, grc, transcription, Ανιν, texts/xml/kafr0003.xml
Αντωνῖνε, Αντωνῖνε, grc, transcription, </lb><'Αν>τωνῖνε, texts/xml/elal0007.xml
Αουλιανός, Αουλιανός, grc, transcription, Αουλιανός, texts/xml/evro0003.xml
Απελέου, Απελέου, grc, transcription, </lb>Απελέου</sic>, texts/xml/zoor0236.xml
Απελλἐου, Απελλἐου, grc, transcription, </lb>Απελλἐου</sic>, texts/xml/zoor0222.xml
Απολλωνίου, Απολλωνίου, grc, transcription, </lb>'Απολλω</lb>νίου, texts/xml/mare0216.xml
Αππολονίου, Αππολονίου, grc, transcription, </lb>'Αππολονίου</supplied>, texts/xml/mare0212.xml
Αρι, Αρι, grc, transcription, Αρι, texts/xml/bshe0123.xml
Αρνμ, Αρνμ, grc, transcription, Αρν</unclear>μ, texts/xml/ahma0003.xml
Αρτεμισίου, Αρτεμισίου, grc, transcription, </lb>Αρ</unclear>τεμισίου, texts/xml/zoor0326.xml
Ασδ, Ασδ, grc, transcription, </lb>Ασδ, texts/xml/carm0018.xml
Ασιχων, Ασιχων, grc, transcription, Ασιχων, texts/xml/ulat0009.xml
Ασουβος, Ασουβος, grc, transcription, </lb>Ασουβος, texts/xml/jeru0135.xml
Ασουβος, Ασουβος, grc, transcription, </lb>Ασουβος, texts/xml/jeru0135.xml
Ασους, Ασους, grc, transcription, Ασους, texts/xml/jeru0135.xml
Ασους, Ασους, grc, transcription, </lb>Ασους, texts/xml/jeru0135.xml
Ασους, Ασους, grc, transcription, </lb>Ασους, texts/xml/jeru0135.xml
Ασους, Ασους, grc, transcription, </lb>Ασους, texts/xml/jeru0135.xml
Ασους, Ασους, grc, transcription, </lb>Ασους, texts/xml/jeru0135.xml
Αυ, Αυ, grc, transcription, Αυ</gap></p></div>, texts/xml/beth0161.xml
Αχων, Αχων, grc, transcription, Αχων, texts/xml/ulat0003.xml
Αύγηϛρατοϛ, Αύγηϛρατοϛ, grc, transcription, Αύγηϛρατοϛ</supplied>, texts/xml/akld0014.xml
Αύγουρίνος, Αύγουρίνος, grc, transcription, </lb>Αύγουρί</lb>νος, texts/xml/haif0032.xml
