2, 2, arc, transcription, 2</num>, texts/xml/idum0379.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0379.xml
2, 2, arc, transcription, 2</num>, texts/xml/idum0385.xml
2, 2, arc, transcription, 2, texts/xml/unkn0105.xml
2, 2, arc, transcription, 2, texts/xml/unkn0107.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0042.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0050.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0057.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0062.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0082.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0087.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0103.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0119.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0120.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0125.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0126.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0143.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0147.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0156.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0158.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0162.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0167.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0206.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0215.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0215.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0216.xml
20, 20, arc, transcription, 20</num>, texts/xml/idum0308.xml
20, 20, arc, transcription, 20, texts/xml/mger0240.xml
21, 21, arc, transcription, 21</num>, texts/xml/idum0006.xml
21, 21, arc, transcription, 21</num>, texts/xml/idum0029.xml
21, 21, arc, transcription, 21</num>, texts/xml/idum0032.xml
21, 21, arc, transcription, 21</num>, texts/xml/idum0220.xml
21, 21, arc, transcription, 21</num>, texts/xml/idum0224.xml
21, 21, arc, transcription, 21</num>, texts/xml/idum0328.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0088.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0099.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0104.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0110.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0137.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0159.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0159.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0335.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0336.xml
22, 22, arc, transcription, 22</num>, texts/xml/idum0375.xml
23, 23, arc, transcription, 23</num>, texts/xml/idum0152.xml
23, 23, arc, transcription, 23</num>, texts/xml/idum0309a.xml
23, 23, arc, transcription, 23</num>, texts/xml/idum0317.xml
23, 23, arc, transcription, 23</num>, texts/xml/idum0327.xml
23, 23, arc, transcription, 23</num>, texts/xml/idum0331.xml
23, 23, arc, transcription, 23</num>, texts/xml/idum0332.xml
24, 24, arc, transcription, 24</num>, texts/xml/idum0007.xml
24, 24, arc, transcription, 24</num>, texts/xml/idum0070.xml
24, 24, arc, transcription, 24</num>, texts/xml/idum0093.xml
24, 24, arc, transcription, 24</num>, texts/xml/idum0153.xml
24, 24, arc, transcription, 24</num>, texts/xml/idum0165.xml
24, 24, arc, transcription, 24</num>, texts/xml/idum0165.xml
24, 24, arc, transcription, 24</num>, texts/xml/idum0326.xml
24, 24, arc, transcription, 24</num>, texts/xml/idum0386.xml
25, 25, arc, transcription, 25</num>, texts/xml/idum0042.xml
25, 25, arc, transcription, 25</num>, texts/xml/idum0081.xml
25, 25, arc, transcription, 25</num>, texts/xml/idum0101.xml
25, 25, arc, transcription, 25</num>, texts/xml/idum0175.xml
25, 25, arc, transcription, 25</num>, texts/xml/idum0317.xml
25עליד, 25עליד, arc, transcription, 25</num>עליד, texts/xml/idum0091.xml
