2, arc, transcription, texts/idum0218.xml
2, arc, transcription, texts/idum0227.xml
2, arc, transcription, texts/idum0297.xml
2, arc, transcription, texts/idum0300.xml
2, arc, transcription, texts/idum0301.xml
2, arc, transcription, texts/idum0306.xml
2, arc, transcription, texts/idum0312.xml
2, arc, transcription, texts/idum0326.xml
2, arc, transcription, texts/idum0375.xml
2, arc, transcription, texts/idum0376.xml
2, arc, transcription, texts/idum0379.xml
2, arc, transcription, texts/idum0385.xml
2, heb, transcription, texts/jeru0206.xml
2, heb, transcription, texts/jord0001.xml
2, arc, transcription, texts/unkn0105.xml
2, arc, transcription, texts/unkn0107.xml
20, arc, transcription, texts/idum0042.xml
20, arc, transcription, texts/idum0057.xml
20, arc, transcription, texts/idum0062.xml
20, arc, transcription, texts/idum0082.xml
20, arc, transcription, texts/idum0087.xml
20, arc, transcription, texts/idum0103.xml
20, arc, transcription, texts/idum0119.xml
20, arc, transcription, texts/idum0120.xml
20, arc, transcription, texts/idum0125.xml
20, arc, transcription, texts/idum0126.xml
20, arc, transcription, texts/idum0143.xml
20, arc, transcription, texts/idum0147.xml
20, arc, transcription, texts/idum0156.xml
20, arc, transcription, texts/idum0158.xml
20, arc, transcription, texts/idum0162.xml
20, arc, transcription, texts/idum0167.xml
20, arc, transcription, texts/idum0206.xml
20, arc, transcription, texts/idum0215.xml
20, arc, transcription, texts/idum0216.xml
20, arc, transcription, texts/idum0308.xml
20, heb, transcription, texts/jord0001.xml
20, arc, transcription, texts/mger0240.xml
21, arc, transcription, texts/idum0006.xml
21, arc, transcription, texts/idum0029.xml
21, arc, transcription, texts/idum0032.xml
21, arc, transcription, texts/idum0220.xml
21, arc, transcription, texts/idum0224.xml
21, arc, transcription, texts/idum0328.xml
21, heb, transcription, texts/jord0001.xml
22, arc, transcription, texts/idum0088.xml
22, arc, transcription, texts/idum0099.xml
22, arc, transcription, texts/idum0104.xml
22, arc, transcription, texts/idum0110.xml
22, arc, transcription, texts/idum0137.xml
22, arc, transcription, texts/idum0159.xml
22, arc, transcription, texts/idum0335.xml
22, arc, transcription, texts/idum0336.xml
22, arc, transcription, texts/idum0375.xml
22, heb, transcription, texts/jord0001.xml
23, arc, transcription, texts/idum0152.xml
23, arc, transcription, texts/idum0309a.xml
23, arc, transcription, texts/idum0317.xml
23, arc, transcription, texts/idum0327.xml
23, arc, transcription, texts/idum0331.xml
23, arc, transcription, texts/idum0332.xml
23, heb, transcription, texts/jord0001.xml
24, arc, transcription, texts/idum0007.xml
24, arc, transcription, texts/idum0070.xml
24, arc, transcription, texts/idum0093.xml
24, arc, transcription, texts/idum0153.xml
24, arc, transcription, texts/idum0165.xml
24, arc, transcription, texts/idum0326.xml
24, arc, transcription, texts/idum0386.xml
24, heb, transcription, texts/jord0001.xml
25, arc, transcription, texts/idum0042.xml
25, arc, transcription, texts/idum0081.xml
25, arc, transcription, texts/idum0101.xml
25, arc, transcription, texts/idum0175.xml
25, arc, transcription, texts/idum0317.xml
25, heb, transcription, texts/jord0001.xml
25עליד, arc, transcription, texts/idum0091.xml
26, arc, transcription, texts/idum0003.xml
26, arc, transcription, texts/idum0004.xml
26, arc, transcription, texts/idum0008.xml
26, arc, transcription, texts/idum0027.xml
26, arc, transcription, texts/idum0033.xml
26, arc, transcription, texts/idum0090.xml
26, arc, transcription, texts/idum0105.xml
26, arc, transcription, texts/idum0121.xml
26, arc, transcription, texts/idum0310.xml
26, arc, transcription, texts/idum0386.xml
26, heb, transcription, texts/jord0001.xml
26, arc, transcription, texts/unkn0105.xml
27, arc, transcription, texts/idum0063.xml
27, arc, transcription, texts/idum0066.xml
27, arc, transcription, texts/idum0098.xml
27, arc, transcription, texts/idum0124.xml
27, arc, transcription, texts/idum0314.xml
27, heb, transcription, texts/jord0001.xml
27, arc, transcription, texts/unkn0105.xml
28, arc, transcription, texts/idum0012.xml
