24, 24, arc, transcription, 24</num>, texts/idum0070.xml
24, 24, arc, transcription, 24</num>, texts/idum0093.xml
24, 24, arc, transcription, 24</num>, texts/idum0153.xml
24, 24, arc, transcription, 24</num>, texts/idum0165.xml
24, 24, arc, transcription, 24</num>, texts/idum0326.xml
24, 24, arc, transcription, 24</num>, texts/idum0386.xml
25, 25, arc, transcription, 25</num>, texts/idum0042.xml
25, 25, arc, transcription, 25</num>, texts/idum0081.xml
25, 25, arc, transcription, 25</num>, texts/idum0101.xml
25, 25, arc, transcription, 25</num>, texts/idum0175.xml
25, 25, arc, transcription, 25</num>, texts/idum0317.xml
25עליד, 25עליד, arc, transcription, 25</num>עליד, texts/idum0091.xml
26, 26, arc, transcription, 26</num>, texts/idum0003.xml
26, 26, arc, transcription, 26</num>, texts/idum0004.xml
26, 26, arc, transcription, 26</num>, texts/idum0008.xml
26, 26, arc, transcription, 26</num>, texts/idum0027.xml
26, 26, arc, transcription, 26</num>, texts/idum0033.xml
26, 26, arc, transcription, 26</num>, texts/idum0090.xml
26, 26, arc, transcription, 26</num>, texts/idum0105.xml
26, 26, arc, transcription, 26</num>, texts/idum0121.xml
26, 26, arc, transcription, 26</num>, texts/idum0310.xml
26, 26, arc, transcription, 26</num>, texts/idum0386.xml
26, 26, arc, transcription, 26, texts/unkn0105.xml
27, 27, arc, transcription, 27</num>, texts/idum0051.xml
27, 27, arc, transcription, 27</num>, texts/idum0063.xml
27, 27, arc, transcription, 27</num>, texts/idum0066.xml
27, 27, arc, transcription, 27</num>, texts/idum0098.xml
27, 27, arc, transcription, 27</num>, texts/idum0124.xml
27, 27, arc, transcription, 27</num>, texts/idum0314.xml
27, 27, arc, transcription, 27, texts/unkn0105.xml
28, 28, arc, transcription, 28</num>, texts/idum0012.xml
28, 28, arc, transcription, 28</num>, texts/idum0036.xml
28, 28, arc, transcription, 28</num>, texts/idum0044.xml
28, 28, arc, transcription, 28</num>, texts/idum0051.xml
28, 28, arc, transcription, 28</num>, texts/idum0098.xml
28, 28, arc, transcription, 28</num>, texts/idum0129.xml
28, 28, arc, transcription, 28</num>, texts/idum0306.xml
29, 29, arc, transcription, 29</num>, texts/idum0015.xml
29, 29, arc, transcription, 29</num>, texts/idum0034.xml
29, 29, arc, transcription, 29</num>, texts/idum0134.xml
29, 29, arc, transcription, 29</num>, texts/idum0157.xml
29, 29, arc, transcription, 29</num>, texts/idum0316.xml
29, 29, arc, transcription, 29, texts/unkn0104.xml
3, 3, arc, transcription, 3</num>, texts/idum0001.xml
3, 3, arc, transcription, 3</num>, texts/idum0007.xml
3, 3, arc, transcription, 3</num>, texts/idum0008.xml
3, 3, arc, transcription, 3</num>, texts/idum0015.xml
3, 3, arc, transcription, 3</num>, texts/idum0024.xml
3, 3, arc, transcription, 3</num>, texts/idum0026.xml
3, 3, arc, transcription, 3</num>, texts/idum0027.xml
3, 3, arc, transcription, 3</num>, texts/idum0030.xml
3, 3, arc, transcription, 3</num>, texts/idum0052.xml
3, 3, arc, transcription, 3</num>, texts/idum0066.xml
3, 3, arc, transcription, 3</num>, texts/idum0067.xml
3, 3, arc, transcription, 3</num>, texts/idum0069.xml
3, 3, arc, transcription, 3</num>, texts/idum0086.xml
3, 3, arc, transcription, 3</num>, texts/idum0090.xml
3, 3, arc, transcription, 3</num>, texts/idum0093.xml
3, 3, arc, transcription, 3</num>, texts/idum0098.xml
3, 3, arc, transcription, 3</num>, texts/idum0099.xml
3, 3, arc, transcription, 3</num>, texts/idum0100.xml
3, 3, arc, transcription, 3</num>, texts/idum0102.xml
3, 3, arc, transcription, 3</num>, texts/idum0108.xml
3, 3, arc, transcription, 3</num>, texts/idum0114.xml
3, 3, arc, transcription, 3, texts/idum0115.xml
3, 3, arc, transcription, 3</num>, texts/idum0122.xml
3, 3, arc, transcription, 3</num>, texts/idum0124.xml
3, 3, arc, transcription, 3</num>, texts/idum0128.xml
3, 3, arc, transcription, 3</num>, texts/idum0142.xml
3, 3, arc, transcription, 3</num>, texts/idum0150.xml
3, 3, arc, transcription, 3</num>, texts/idum0155.xml
3, 3, arc, transcription, 3</num>, texts/idum0157.xml
3, 3, arc, transcription, 3</num>, texts/idum0160.xml
3, 3, arc, transcription, 3</num>, texts/idum0162.xml
3, 3, arc, transcription, 3</num>, texts/idum0164.xml
3, 3, arc, transcription, 3</num>, texts/idum0166.xml
3, 3, arc, transcription, 3</num>, texts/idum0170.xml
3, 3, arc, transcription, 3</num>, texts/idum0181.xml
3, 3, arc, transcription, 3</num>, texts/idum0205.xml
3, 3, arc, transcription, 3</num>, texts/idum0207.xml
3, 3, arc, transcription, 3</num>, texts/idum0212.xml
3, 3, arc, transcription, 3</num>, texts/idum0218.xml
