110, 110, la-transl, translation, 110?</p></div>, texts/xml/masa0848.xml
Dacia, Dacia, la-transl, transcription, Dacia</placeName>;, texts/xml/caes0004.xml
Damas, Damas, la-transl, transcription, Damas, texts/xml/caes0146.xml
Decimus, Decimus, la-transl, transcription, Decimus, texts/xml/caes0015.xml
Diocletian, Diocletian, la-transl, transcription, </persName>Diocletian, texts/xml/caes0006.xml
Diocletian, Diocletian, la-transl, transcription, </lb>Diocletian, texts/xml/yotv0001.xml
Emperor, Emperor, la-transl, transcription, Emperor, texts/xml/caes0006.xml
Emperor, Emperor, la-transl, transcription, Emperor</rs>...&#44;, texts/xml/caes0016.xml
Emperor, Emperor, la-transl, translation, Emperor, texts/xml/caes0054.xml
Felix, Felix, la-transl, transcription, </rs>Felix, texts/xml/caes0009.xml
Ferrata, Ferrata, la-transl, transcription, Ferrata, texts/xml/caes0004.xml
Ferrata, Ferrata, la-transl, transcription, Ferrata.</p></div>, texts/xml/caes0054.xml
Ferrata, Ferrata, la-transl, transcription, Ferrata, texts/xml/caes0146.xml
Fidelis, Fidelis, la-transl, transcription, Fidelis, texts/xml/caes0146.xml
Flavia, Flavia, la-transl, transcription, Flavia, texts/xml/caes0044.xml
Flavia, Flavia, la-transl, translation, Flavia, texts/xml/caes0024.xml
Flavianus, Flavianus, la-transl, transcription, </persName>Flavianus, texts/xml/caes0031.xml
Flavios, Flavios, la-transl, transcription, Flavios, texts/xml/caes0055.xml
Flavius, Flavius, la-transl, transcription, Flavius</persName>, texts/xml/caes0002.xml
Flavius, Flavius, la-transl, transcription, </persName>Flavius, texts/xml/caes0003.xml
Flavius, Flavius, la-transl, transcription, </persName>Flavius, texts/xml/caes0010.xml
Flavius, Flavius, la-transl, transcription, Flavius, texts/xml/caes0017.xml
Flavius, Flavius, la-transl, transcription, </persName>Flavius, texts/xml/caes0018.xml
Flavius, Flavius, la-transl, transcription, Flavius, texts/xml/caes0146.xml
Florentios, Florentios, la-transl, transcription, </persName>Florentios, texts/xml/caes0055.xml
For, For, la-transl, transcription, </lb>For, texts/xml/yotv0001.xml
Fretensis, Fretensis, la-transl, transcription, Fretensis, texts/xml/caes0018.xml
Fretensis, Fretensis, la-transl, transcription, Fretensis&#44;, texts/xml/caes0031.xml
Fretensis, Fretensis, la-transl, transcription, Fretensis.</p></div>, texts/xml/caes0051.xml
Fretensis, Fretensis, la-transl, transcription, Fretensis.</p></div>, texts/xml/caes0052.xml
Fretensis, Fretensis, la-transl, transcription, Fretensis, texts/xml/caes0146.xml
Fretensis, Fretensis, la-transl, transcription, Fretensis&#44;, texts/xml/caes0148.xml
Fulminata, Fulminata, la-transl, transcription, Fulminata</p></div>, texts/xml/caes0119.xml
Furius, Furius, la-transl, transcription, </persName>Furius, texts/xml/caes0007.xml
G, G, la-transl, transcription, </persName>G-, texts/xml/caes0021.xml
Gaius, Gaius, la-transl, transcription, </rs>Gaius, texts/xml/caes0006.xml
Gaius, Gaius, la-transl, transcription, Gaius, texts/xml/caes0007.xml
Gaius, Gaius, la-transl, transcription, Gaius, texts/xml/caes0018.xml
Gaius, Gaius, la-transl, transcription, </rs>Gaius, texts/xml/caes0106.xml
Gaius, Gaius, la-transl, translation, Gaius</persName>, texts/xml/caes0002.xml
Galerius, Galerius, la-transl, transcription, Galerius, texts/xml/caes0014.xml
Good, Good, la-transl, translation, Good</p></div>, texts/xml/fiqg0002.xml
Gordianus, Gordianus, la-transl, transcription, </persName>Gordianus, texts/xml/caes0107.xml
Hadrian, Hadrian, la-transl, transcription, </persName>Hadrian, texts/xml/caes0045.xml
Hadrian, Hadrian, la-transl, transcription, </persName>Hadrian, texts/xml/caes0047.xml
Hadrian, Hadrian, la-transl, transcription, </persName>Hadrian, texts/xml/caes0049.xml
Hadrian, Hadrian, la-transl, transcription, </persName>Hadrian, texts/xml/caes0051.xml
Hadrian, Hadrian, la-transl, transcription, </persName>Hadrian, texts/xml/caes0052.xml
Hadrian, Hadrian, la-transl, transcription, </persName>Hadrian, texts/xml/caes0053.xml
Hadrian, Hadrian, la-transl, transcription, </persName>Hadrian, texts/xml/caes0054.xml
Height, Height, la-transl, translation, (Height?)</p></div>, texts/xml/caes0062.xml
Hemeseni, Hemeseni, la-transl, transcription, Hemeseni, texts/xml/caes0004.xml
Hilarus, Hilarus, la-transl, transcription, Hilarus, texts/xml/caes0146.xml
His, His, la-transl, transcription, His, texts/xml/caes0009.xml
His, His, la-transl, transcription, His, texts/xml/caes0015.xml
Imperator, Imperator, la-transl, transcription, Imperator, texts/xml/caes0045.xml
Imperator, Imperator, la-transl, transcription, Imperator, texts/xml/caes0047.xml
Imperator, Imperator, la-transl, transcription, Imperator, texts/xml/caes0049.xml
Imperator, Imperator, la-transl, transcription, Imperator, texts/xml/caes0053.xml
Imperator, Imperator, la-transl, transcription, Imperator, texts/xml/caes0106.xml
Imperator, Imperator, la-transl, transcription, Imperator, texts/xml/caes0107.xml
Imperator, Imperator, la-transl, translation, Imperator, texts/xml/caes0051.xml
Imperator, Imperator, la-transl, translation, Imperator, texts/xml/caes0052.xml
In, In, la-transl, translation, In, texts/xml/caes0011.xml
Invictus, Invictus, la-transl, transcription, </rs>Invictus, texts/xml/caes0009.xml
Iohanna, Iohanna, la-transl, translation, Iohan[n]a</p></div>, texts/xml/jeru0093.xml
Italicus, Italicus, la-transl, transcription, </persName>Italicus, texts/xml/caes0145.xml
Judaeathe, Judaeathe, la-transl, transcription, Judaea</placeName>&#44;...the, texts/xml/caes0043.xml
Julia, Julia, la-transl, transcription, Julia, texts/xml/caes0032.xml
Julianus, Julianus, la-transl, transcription, </persName>Julianus, texts/xml/caes0011.xml
Julianus, Julianus, la-transl, transcription, </persName>Julianus, texts/xml/caes0148.xml
Julius, Julius, la-transl, transcription, </persName>Julius, texts/xml/caes0018.xml
Julius, Julius, la-transl, transcription, Julius, texts/xml/caes0032.xml
Julius, Julius, la-transl, transcription, </persName>Julius, texts/xml/caes0106.xml
Julius, Julius, la-transl, transcription, Julius, texts/xml/caes0148.xml
Julius, Julius, la-transl, translation, Julius, texts/xml/caes0119.xml
Justinus, Justinus, la-transl, transcription, </persName>Justinus, texts/xml/caes0007.xml
Left, Left, la-transl, transcription, </lb>Left, texts/xml/yotv0001.xml
Legio, Legio, la-transl, transcription, Legio, texts/xml/caes0031.xml
Legio, Legio, la-transl, transcription, Legio, texts/xml/caes0051.xml
