1, he, transcription, <p>.1, texts/jord0001.xml
הגדל, he, transcription, הגדל</p></div>, texts/jeru0305.xml
הדי, he, transcription, ה<unclear>ד</unclear>/י</gap>, texts/qumr0001.xml
הו, he, transcription, הו</gap>, texts/qumr0002.xml
הזות, he, transcription, הזו</supplied>ת, texts/masa0450.xml
הזות, he, transcription, הזות, texts/masa0451.xml
הזות, he, transcription, <supplied>הזות</supplied>, texts/masa0452.xml
הכדיןלה, he, transcription, <p>הכדין<supplied>ל</supplied>ה, texts/masa0454.xml
הכהן, he, transcription, הכהן, texts/jeru0305.xml
הל, he, transcription, </lb><unclear>ה</unclear>ל</gap>, texts/qumr0001.xml
הליו, he, transcription, ה</gap>לי/ו, texts/qumr0001.xml
הללו, he, transcription, הלל<supplied>ו</supplied>, texts/qumr0001.xml
הללנוסי, he, transcription, <p>הלל</gap>נוסי</p></div>, texts/masa0473.xml
הלנא, he, transcription, <p>הלנא</p></div>, texts/akld0016.xml
המקוםהזה, he, transcription, <p>ה<unclear>מ</unclear>קו<unclear>ם</unclear>ה<unclear>ז</unclear>ה, texts/beth0261.xml
הנניה, he, transcription, <p>הנני<supplied>ה</supplied>, texts/masa0486.xml
העב, he, transcription, </lb><unclear>ה</unclear></gap>ע<unclear>ב</unclear></gap>, texts/qumr0001.xml
העיר, he, transcription, העיר</supplied>, texts/huqo0001.xml
העמקי, he, transcription, <p>העמקי</p></div>, texts/masa0434.xml
הקבר, he, transcription, <p>הקבר, texts/beth0255.xml
הקדש, he, transcription, </lb>הקד<supplied>ש</supplied>, texts/masa0449.xml
הקדש, he, transcription, הקדש</supplied>, texts/masa0450.xml
הקדש, he, transcription, </lb>הקד<supplied>ש</supplied>, texts/masa0451.xml
הקדש, he, transcription, הקדש</p></div>, texts/masa0452.xml
הרה, he, transcription, <p>הרה, texts/masa0449.xml
הרה, he, transcription, <supplied>הרה</supplied>, texts/masa0450.xml
הרה, he, transcription, <p>הרה, texts/masa0451.xml
הרה, he, transcription, <p>הרה, texts/masa0452.xml
הרם, he, transcription, <p>הרם</p></div>, texts/bshe0101.xml
השורה, he, transcription, השור<supplied>ה, texts/masa0450.xml
השורה, he, transcription, <supplied>השורה, texts/masa0451.xml
ו, he, transcription, ו</gap>, texts/masa0449.xml
ואינן, he, transcription, </lb>ואינן, texts/masa0449.xml
ואלעזר, he, transcription, ואלעזר, texts/jeru0303.xml
ואמן, he, transcription, וא<unclear>מ</unclear><supplied>ן, texts/huqo0001.xml
ואנן, he, transcription, </lb>ואנן, texts/masa0451.xml
ואת, he, transcription, </lb>ואת, texts/qumr0001.xml
ובידו, he, transcription, <p>ובידו</p></div>, texts/masa0468.xml
ובידעג, he, transcription, </lb><unclear>ו</unclear><unclear>ב</unclear><unclear>י</unclear><unclear>ד</unclear><unclear>ע</unclear><unclear>ג</unclear></gap>, texts/qumr0001.xml
וברוכין, he, transcription, <supplied>וברוכי</supplied>ן, texts/huqo0001.xml
ובריה, he, transcription, </gap>ובריה</p></div>, texts/masa0504.xml
ודהטוב, he, transcription, </gap>ו<unclear>ד</unclear></gap>הטוב, texts/beth0263.xml
והאתאנים, he, transcription, </lb>וה/אתאנים, texts/qumr0001.xml
והנפש, he, transcription, והנפש, texts/jeru0303.xml
