#Zubaydu/Zubidu, arc, transcription, ../iip-texts-master/epidoc-files/idum0001.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0300.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0301.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0303.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0317.xml
13, grc, diplomatic, ../iip-texts-master/epidoc-files/jeru0310.xml
13, grc, transcription, ../iip-texts-master/epidoc-files/jeru0310.xml
13, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/unkn0104.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/unkn0105.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/idum0022.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/idum0048.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/idum0049.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/idum0075.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/idum0207.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/idum0305.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/idum0308.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/idum0341.xml
14, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/unkn0104.xml
14, arc, transcription, ../iip-texts-master/epidoc-files/unkn0105.xml
15, arc, transcription, ../iip-texts-master/epidoc-files/idum0043.xml
15, arc, transcription, ../iip-texts-master/epidoc-files/idum0086.xml
15, arc, transcription, ../iip-texts-master/epidoc-files/idum0178.xml
15, arc, transcription, ../iip-texts-master/epidoc-files/idum0222.xml
15, arc, transcription, ../iip-texts-master/epidoc-files/idum0226.xml
15, arc, transcription, ../iip-texts-master/epidoc-files/idum0341.xml
15, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
15, arc, transcription, ../iip-texts-master/epidoc-files/unkn0105.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0030.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0045.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0052.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0092.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0169.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0214.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0221.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0319.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0333.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/idum0385.xml
16, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
16, arc, transcription, ../iip-texts-master/epidoc-files/unkn0105.xml
17, arc, transcription, ../iip-texts-master/epidoc-files/idum0017.xml
17, arc, transcription, ../iip-texts-master/epidoc-files/idum0018.xml
17, arc, transcription, ../iip-texts-master/epidoc-files/idum0111.xml
17, arc, transcription, ../iip-texts-master/epidoc-files/idum0124.xml
17, arc, transcription, ../iip-texts-master/epidoc-files/idum0144.xml
17, arc, transcription, ../iip-texts-master/epidoc-files/idum0217.xml
17, arc, transcription, ../iip-texts-master/epidoc-files/idum0225.xml
17, arc, transcription, ../iip-texts-master/epidoc-files/idum0335.xml
17, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
18, arc, transcription, ../iip-texts-master/epidoc-files/idum0007.xml
18, arc, transcription, ../iip-texts-master/epidoc-files/idum0019.xml
18, arc, transcription, ../iip-texts-master/epidoc-files/idum0023.xml
18, arc, transcription, ../iip-texts-master/epidoc-files/idum0024.xml
18, arc, transcription, ../iip-texts-master/epidoc-files/idum0118.xml
18, arc, transcription, ../iip-texts-master/epidoc-files/idum0164.xml
18, arc, transcription, ../iip-texts-master/epidoc-files/idum0170.xml
18, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
19, arc, transcription, ../iip-texts-master/epidoc-files/idum0025.xml
19, arc, transcription, ../iip-texts-master/epidoc-files/idum0026.xml
19, arc, transcription, ../iip-texts-master/epidoc-files/idum0086.xml
19, arc, transcription, ../iip-texts-master/epidoc-files/idum0135.xml
19, arc, transcription, ../iip-texts-master/epidoc-files/idum0168.xml
19, arc, transcription, ../iip-texts-master/epidoc-files/idum0216.xml
19, arc, transcription, ../iip-texts-master/epidoc-files/idum0315.xml
19, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
2, grc, transcription, ../iip-texts-master/epidoc-files/beth0170.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0007.xml
